Cidades,Estados,Geocode
Porto Velho/RO,RO,1100205.0
Cruzeiro do Sul/AC,AC,1200203.0
Marechal Thaumaturgo/AC,AC,1200351.0
Porto Walter/AC,AC,1200393.0
Alvarães/AM,AM,1300029.0
Amaturá/AM,AM,1300060.0
Anamã/AM,AM,1300086.0
Anori/AM,AM,1300102.0
Autazes/AM,AM,1300300.0
Barcelos/AM,AM,1300409.0
Barreirinha/AM,AM,1300508.0
Benjamin Constant/AM,AM,1300607.0
Beruri/AM,AM,1300631.0
Boa Vista do Ramos/AM,AM,1300680.0
Borba/AM,AM,1300805.0
Caapiranga/AM,AM,1300839.0
Canutama/AM,AM,1300904.0
Carauari/AM,AM,1301001.0
Careiro da Várzea/AM,AM,1301159.0
Coari/AM,AM,1301209.0
Codajás/AM,AM,1301308.0
Fonte Boa/AM,AM,1301605.0
Humaitá/AM,AM,1301704.0
Ipixuna/AM,AM,1301803.0
Iranduba/AM,AM,1301852.0
Itacoatiara/AM,AM,1301902.0
Itapiranga/AM,AM,1302009.0
Japurá/AM,AM,1302108.0
Juruá/AM,AM,1302207.0
Jutaí/AM,AM,1302306.0
Lábrea/AM,AM,1302405.0
Manacapuru/AM,AM,1302504.0
Manaquiri/AM,AM,1302553.0
Manaus/AM,AM,1302603.0
Manicoré/AM,AM,1302702.0
Maraã/AM,AM,1302801.0
Maués/AM,AM,1302900.0
Nhamundá/AM,AM,1303007.0
Nova Olinda do Norte/AM,AM,1303106.0
Novo Airão/AM,AM,1303205.0
Novo Aripuanã/AM,AM,1303304.0
Parintins/AM,AM,1303403.0
Santa Isabel do Rio Negro/AM,AM,1303601.0
Santo Antônio do Içá/AM,AM,1303700.0
São Gabriel da Cachoeira/AM,AM,1303809.0
São Paulo de Olivença/AM,AM,1303908.0
São Sebastião do Uatumã/AM,AM,1303957.0
Tabatinga/AM,AM,1304062.0
Tapauá/AM,AM,1304104.0
Tefé/AM,AM,1304203.0
Tonantins/AM,AM,1304237.0
Uarini/AM,AM,1304260.0
Urucará/AM,AM,1304302.0
Urucurituba/AM,AM,1304401.0
Abaetetuba/PA,PA,1500107.0
Acará/PA,PA,1500206.0
Afuá/PA,PA,1500305.0
Alenquer/PA,PA,1500404.0
Almeirim/PA,PA,1500503.0
Altamira/PA,PA,1500602.0
Anajás/PA,PA,1500701.0
Aveiro/PA,PA,1501006.0
Bagre/PA,PA,1501105.0
Baião/PA,PA,1501204.0
Barcarena/PA,PA,1501303.0
Belém/PA,PA,1501402.0
Breves/PA,PA,1501808.0
Cachoeira do Arari/PA,PA,1502004.0
Cametá/PA,PA,1502103.0
Chaves/PA,PA,1502509.0
Curralinho/PA,PA,1502806.0
Curuá/PA,PA,1502855.0
Faro/PA,PA,1503002.0
Gurupá/PA,PA,1503101.0
Itaituba/PA,PA,1503606.0
Juruti/PA,PA,1503903.0
Limoeiro do Ajuru/PA,PA,1504000.0
Marabá/PA,PA,1504208.0
Melgaço/PA,PA,1504505.0
Mocajuba/PA,PA,1504604.0
Monte Alegre/PA,PA,1504802.0
Muaná/PA,PA,1504901.0
Óbidos/PA,PA,1505106.0
Oeiras do Pará/PA,PA,1505205.0
Oriximiná/PA,PA,1505304.0
Ponta de Pedras/PA,PA,1505700.0
Portel/PA,PA,1505809.0
Porto de Moz/PA,PA,1505908.0
Prainha/PA,PA,1506005.0
Salvaterra/PA,PA,1506302.0
Santa Cruz do Arari/PA,PA,1506401.0
Santarém/PA,PA,1506807.0
São Sebastião da Boa Vista/PA,PA,1507706.0
Senador José Porfírio/PA,PA,1507805.0
Soure/PA,PA,1507904.0
Terra Santa/PA,PA,1507979.0
Tucumã/PA,PA,1508084.0
Tucuruí/PA,PA,1508100.0
Viseu/PA,PA,1508308.0
Vitória do Xingu/PA,PA,1508357.0
Laranjal do Jari/AP,AP,1600279.0
Macapá/AP,AP,1600303.0
Santana/AP,AP,1600600.0
Vitória do Jari/AP,AP,1600808.0
Itaguatins/TO,TO,1710706.0
Alcântara/MA,MA,2100204.0
Carutapera/MA,MA,2102903.0
Humberto de Campos/MA,MA,2105005.0
Icatu/MA,MA,2105104.0
Imperatriz/MA,MA,2105302.0
Primeira Cruz/MA,MA,2109403.0
São José de Ribamar/MA,MA,2111201.0
São Luís/MA,MA,2111300.0
Areia Branca/RN,RN,2401107.0
Grossos/RN,RN,2404408.0
Penedo/AL,AL,2706703.0
Piaçabuçu/AL,AL,2706802.0
Porto Real do Colégio/AL,AL,2707503.0
Traipu/AL,AL,2709202.0
Brejo Grande/SE,SE,2800704.0
Gararu/SE,SE,2802403.0
Propriá/SE,SE,2805703.0
Santana do São Francisco/SE,SE,2806404.0
Itaparica/BA,BA,2916104.0
Pilão Arcado/BA,BA,2924405.0
Remanso/BA,BA,2926004.0
Salvador/BA,BA,2927408.0
Sento Sé/BA,BA,2930204.0
Vera Cruz/BA,BA,2933208.0
Xique-Xique/BA,BA,2933604.0
Angra dos Reis/RJ,RJ,3300100.0
Mangaratiba/RJ,RJ,3302601.0
Guaraqueçaba/PR,PR,4109500.0
Paranaguá/PR,PR,4118204.0
Imaruí/SC,SC,4207205.0
Itapiranga/SC,SC,4208401.0
Laguna/SC,SC,4209409.0
Pinheirinho do Vale/RS,RS,4314498.0
Rio Grande/RS,RS,4315602.0
São José do Norte/RS,RS,4318507.0
