Cidades,Geocode
Porto Velho/RO,1100205.0
Cruzeiro do Sul/AC,1200203.0
Marechal Thaumaturgo/AC,1200351.0
Porto Walter/AC,1200393.0
Alvarães/AM,1300029.0
Amaturá/AM,1300060.0
Anamã/AM,1300086.0
Anori/AM,1300102.0
Autazes/AM,1300300.0
Barcelos/AM,1300409.0
Barreirinha/AM,1300508.0
Benjamin Constant/AM,1300607.0
Beruri/AM,1300631.0
Boa Vista do Ramos/AM,1300680.0
Borba/AM,1300805.0
Caapiranga/AM,1300839.0
Canutama/AM,1300904.0
Carauari/AM,1301001.0
Careiro da Várzea/AM,1301159.0
Coari/AM,1301209.0
Codajás/AM,1301308.0
Fonte Boa/AM,1301605.0
Humaitá/AM,1301704.0
Ipixuna/AM,1301803.0
Iranduba/AM,1301852.0
Itacoatiara/AM,1301902.0
Itapiranga/AM,1302009.0
Japurá/AM,1302108.0
Juruá/AM,1302207.0
Jutaí/AM,1302306.0
Lábrea/AM,1302405.0
Manacapuru/AM,1302504.0
Manaquiri/AM,1302553.0
Manaus/AM,1302603.0
Manicoré/AM,1302702.0
Maraã/AM,1302801.0
Maués/AM,1302900.0
Nhamundá/AM,1303007.0
Nova Olinda do Norte/AM,1303106.0
Novo Airão/AM,1303205.0
Novo Aripuanã/AM,1303304.0
Parintins/AM,1303403.0
Santa Isabel do Rio Negro/AM,1303601.0
Santo Antônio do Içá/AM,1303700.0
São Gabriel da Cachoeira/AM,1303809.0
São Paulo de Olivença/AM,1303908.0
São Sebastião do Uatumã/AM,1303957.0
Tabatinga/AM,1304062.0
Tapauá/AM,1304104.0
Tefé/AM,1304203.0
Tonantins/AM,1304237.0
Uarini/AM,1304260.0
Urucará/AM,1304302.0
Urucurituba/AM,1304401.0
Abaetetuba/PA,1500107.0
Acará/PA,1500206.0
Afuá/PA,1500305.0
Alenquer/PA,1500404.0
Almeirim/PA,1500503.0
Altamira/PA,1500602.0
Anajás/PA,1500701.0
Aveiro/PA,1501006.0
Bagre/PA,1501105.0
Baião/PA,1501204.0
Barcarena/PA,1501303.0
Belém/PA,1501402.0
Breves/PA,1501808.0
Cachoeira do Arari/PA,1502004.0
Cametá/PA,1502103.0
Chaves/PA,1502509.0
Curralinho/PA,1502806.0
Curuá/PA,1502855.0
Faro/PA,1503002.0
Gurupá/PA,1503101.0
Itaituba/PA,1503606.0
Juruti/PA,1503903.0
Limoeiro do Ajuru/PA,1504000.0
Marabá/PA,1504208.0
Melgaço/PA,1504505.0
Mocajuba/PA,1504604.0
Monte Alegre/PA,1504802.0
Muaná/PA,1504901.0
Óbidos/PA,1505106.0
Oeiras do Pará/PA,1505205.0
Oriximiná/PA,1505304.0
Ponta de Pedras/PA,1505700.0
Portel/PA,1505809.0
Porto de Moz/PA,1505908.0
Prainha/PA,1506005.0
Salvaterra/PA,1506302.0
Santa Cruz do Arari/PA,1506401.0
Santarém/PA,1506807.0
São Sebastião da Boa Vista/PA,1507706.0
Senador José Porfírio/PA,1507805.0
Soure/PA,1507904.0
Terra Santa/PA,1507979.0
Tucumã/PA,1508084.0
Tucuruí/PA,1508100.0
Viseu/PA,1508308.0
Vitória do Xingu/PA,1508357.0
Laranjal do Jari/AP,1600279.0
Macapá/AP,1600303.0
Santana/AP,1600600.0
Vitória do Jari/AP,1600808.0
Itaguatins/TO,1710706.0
